淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
15264219632,newbalance旗舰店,,,,新款优惠,0.0,0.0,0,0,0,0,0,2012-10-19
15264219632,newbalance旗舰店,MAJ21230,New Balance 新百伦 男装 长袖梭织外套休闲运动上衣MAJ21230特价,http://img02.taobaocdn.com/bao/uploaded/i2/T1Ue9.XmRdXXb.n3AZ_032402.jpg,新款优惠,0.0,0.0,0,0,0,0,0,2012-10-18
15264219632,newbalance旗舰店,MAJ21230,New Balance 新百伦 男装 长袖梭织外套休闲运动上衣MAJ21230特价,http://img02.taobaocdn.com/bao/uploaded/i2/T1Ue9.XmRdXXb.n3AZ_032402.jpg,新款优惠,0.0,0.0,0,0,0,0,0,2012-10-17
15264219632,newbalance旗舰店,MAJ21230,New Balance 新百伦 男装 长袖梭织外套休闲运动上衣MAJ21230特价,http://img02.taobaocdn.com/bao/uploaded/i2/T1Ue9.XmRdXXb.n3AZ_032402.jpg,新款优惠,0.0,0.0,0,0,0,0,0,2012-10-16
13563829160,newbalance旗舰店,,,,限时5折,0.0,0.0,0,0,0,0,0,2012-10-19
13563829160,newbalance旗舰店,NB574WB0 5,New Balance/新百伦 男鞋跑步鞋 运动鞋复古鞋 NB574WB0 5折包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T17s50XhdcXXcO7ck1_040430.jpg,限时5折,0.0,0.0,1,0,-29,3,0,2012-10-18
13563829160,newbalance旗舰店,NB574WB0 5,New Balance/新百伦 男鞋跑步鞋 运动鞋复古鞋 NB574WB0 5折包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T17s50XhdcXXcO7ck1_040430.jpg,限时5折,0.0,0.0,2,2,-2,16,0,2012-10-17
13563829160,newbalance旗舰店,NB574WB0 5,New Balance/新百伦 男鞋跑步鞋 运动鞋复古鞋 NB574WB0 5折包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T17s50XhdcXXcO7ck1_040430.jpg,限时5折,0.0,0.0,0,0,0,0,0,2012-10-16
14516357614,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
14516357614,newbalance旗舰店,NC212141,New Balance新百伦男装运动连帽套头卫衣外套 针织休闲服NC212141,http://img02.taobaocdn.com/bao/uploaded/i2/T1r9K.XcdfXXblCKc9_072849.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
14516357614,newbalance旗舰店,NC212141,New Balance新百伦男装运动连帽套头卫衣外套 针织休闲服NC212141,http://img02.taobaocdn.com/bao/uploaded/i2/T1r9K.XcdfXXblCKc9_072849.jpg,,0.0,0.0,0,0,0,1,0,2012-10-17
14516357614,newbalance旗舰店,NC212141,New Balance新百伦男装运动连帽套头卫衣外套 针织休闲服NC212141,http://img02.taobaocdn.com/bao/uploaded/i2/T1r9K.XcdfXXblCKc9_072849.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
16385499430,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
16385499430,newbalance旗舰店,KWWK2206,newbalance新百伦 夏装 童装针织连身裙 女童连衣裙KWWK2206包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T1XvPuXchcXXceHFM7_063424.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
16385499430,newbalance旗舰店,KWWK2206,newbalance新百伦 夏装 童装针织连身裙 女童连衣裙KWWK2206包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T1XvPuXchcXXceHFM7_063424.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
16385499430,newbalance旗舰店,KWWK2206,newbalance新百伦 夏装 童装针织连身裙 女童连衣裙KWWK2206包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T1XvPuXchcXXceHFM7_063424.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
18674088825,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
18674088825,newbalance旗舰店,KMSS2201,new balance新百伦童装男童针织裤 糖果色休闲运动中裤 KMSS2201,http://img01.taobaocdn.com/bao/uploaded/i1/T1NEHtXfdfXXXaodrX_084559.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
18674088825,newbalance旗舰店,KMSS2201,new balance新百伦童装男童针织裤 糖果色休闲运动中裤 KMSS2201,http://img01.taobaocdn.com/bao/uploaded/i1/T1NEHtXfdfXXXaodrX_084559.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
18674088825,newbalance旗舰店,KMSS2201,new balance新百伦童装男童针织裤 糖果色休闲运动中裤 KMSS2201,http://img01.taobaocdn.com/bao/uploaded/i1/T1NEHtXfdfXXXaodrX_084559.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
16980144049,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
16980144049,newbalance旗舰店,NC212082,New Balance 新百伦 女装针织休闲服 连帽运动衫外套NC212082,http://img04.taobaocdn.com/bao/uploaded/i4/T1jiK.XnXqXXa8Yf78_070454.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
16980144049,newbalance旗舰店,NC212082,New Balance 新百伦 女装针织休闲服 连帽运动衫外套NC212082,http://img04.taobaocdn.com/bao/uploaded/i4/T1jiK.XnXqXXa8Yf78_070454.jpg,,0.0,0.0,0,0,0,1,0,2012-10-17
16980144049,newbalance旗舰店,NC212082,New Balance 新百伦 女装针织休闲服 连帽运动衫外套NC212082,http://img04.taobaocdn.com/bao/uploaded/i4/T1jiK.XnXqXXa8Yf78_070454.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
15393945547,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
15393945547,newbalance旗舰店,M890RB20,New Balance/新百伦 男鞋 专业轻量跑步鞋 耐磨透气M890RB20正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1WevwXclbXXaNLCg._113353.jpg,,0.0,0.0,0,0,1,-2,0,2012-10-18
15393945547,newbalance旗舰店,M890RB20,New Balance/新百伦 男鞋 专业轻量跑步鞋 耐磨透气M890RB20正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1WevwXclbXXaNLCg._113353.jpg,,0.0,0.0,0,0,0,2,0,2012-10-17
15393945547,newbalance旗舰店,M890RB20,New Balance/新百伦 男鞋 专业轻量跑步鞋 耐磨透气M890RB20正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1WevwXclbXXaNLCg._113353.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
16980484804,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
16980484804,newbalance旗舰店,NU21F001,NewBalance 新百伦 女裤针织七分裤 休闲时尚中裤NU21F001 包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T1qTK.XcRcXXc5Gxs9_073559.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
16980484804,newbalance旗舰店,NU21F001,NewBalance 新百伦 女裤针织七分裤 休闲时尚中裤NU21F001 包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T1qTK.XcRcXXc5Gxs9_073559.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
16980484804,newbalance旗舰店,NU21F001,NewBalance 新百伦 女裤针织七分裤 休闲时尚中裤NU21F001 包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T1qTK.XcRcXXc5Gxs9_073559.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
16530984927,newbalance旗舰店,,,,,0.0,,0,0,0,-2,0,2012-10-19
16530984927,newbalance旗舰店,KV320TBP/LGP,New Balance/新百伦男/女中童鞋复古鞋透气网布童鞋KV320TBP/LGP,http://img04.taobaocdn.com/bao/uploaded/i4/T1pZ56XcXcXXXRDvk8_100355.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
16530984927,newbalance旗舰店,KV320TBP/LGP,New Balance/新百伦男/女中童鞋复古鞋透气网布童鞋KV320TBP/LGP,http://img04.taobaocdn.com/bao/uploaded/i4/T1pZ56XcXcXXXRDvk8_100355.jpg,,0.0,0.0,0,0,0,-2,0,2012-10-17
16530984927,newbalance旗舰店,KV320TBP/LGP,New Balance/新百伦男/女中童鞋复古鞋透气网布童鞋KV320TBP/LGP,http://img04.taobaocdn.com/bao/uploaded/i4/T1pZ56XcXcXXXRDvk8_100355.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
16531496430,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
16531496430,newbalance旗舰店,KV373PGY,NewBalance/新百伦 男/女大童/中童鞋 复古鞋运动休闲鞋KV373PGY,http://img01.taobaocdn.com/bao/uploaded/i1/T18Z16XeRcXXb1bEQ8_101858.jpg,,0.0,0.0,0,0,0,0,0,2012-10-18
16531496430,newbalance旗舰店,KV373PGY,NewBalance/新百伦 男/女大童/中童鞋 复古鞋运动休闲鞋KV373PGY,http://img01.taobaocdn.com/bao/uploaded/i1/T18Z16XeRcXXb1bEQ8_101858.jpg,,0.0,0.0,0,0,0,-2,0,2012-10-17
16531496430,newbalance旗舰店,KV373PGY,NewBalance/新百伦 男/女大童/中童鞋 复古鞋运动休闲鞋KV373PGY,http://img01.taobaocdn.com/bao/uploaded/i1/T18Z16XeRcXXb1bEQ8_101858.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
14494961176,newbalance旗舰店,,,,店铺vip,0.0,0.0,0,0,0,1,0,2012-10-19
14494961176,newbalance旗舰店,NC211042,New Balance 新百伦女 长袖休闲运动外套 针织休闲服NC211042包邮,http://img01.taobaocdn.com/bao/uploaded/i1/T1i2y.XlhdXXaj0bA2_042956.jpg,店铺vip,0.0,0.0,0,0,0,0,0,2012-10-18
14494961176,newbalance旗舰店,NC211042,New Balance 新百伦女 长袖休闲运动外套 针织休闲服NC211042包邮,http://img01.taobaocdn.com/bao/uploaded/i1/T1i2y.XlhdXXaj0bA2_042956.jpg,店铺vip,0.0,0.0,0,0,0,1,0,2012-10-17
14494961176,newbalance旗舰店,NC211042,New Balance 新百伦女 长袖休闲运动外套 针织休闲服NC211042包邮,http://img01.taobaocdn.com/bao/uploaded/i1/T1i2y.XlhdXXaj0bA2_042956.jpg,店铺vip,0.0,0.0,0,0,0,0,0,2012-10-16
15395478812,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
15395478812,newbalance旗舰店,MRC5000Y,NewBalance/新百伦轻便复古鞋 男鞋 专业款MRC5000Y 运动鞋 包邮,http://img02.taobaocdn.com/bao/uploaded/i2/T1z1jwXj8cXXbfFgU1_041313.jpg,,0.0,0.0,0,0,1,0,0,2012-10-18
15395478812,newbalance旗舰店,MRC5000Y,NewBalance/新百伦轻便复古鞋 男鞋 专业款MRC5000Y 运动鞋 包邮,http://img02.taobaocdn.com/bao/uploaded/i2/T1z1jwXj8cXXbfFgU1_041313.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
15395478812,newbalance旗舰店,MRC5000Y,NewBalance/新百伦轻便复古鞋 男鞋 专业款MRC5000Y 运动鞋 包邮,http://img02.taobaocdn.com/bao/uploaded/i2/T1z1jwXj8cXXbfFgU1_041313.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13997061732,newbalance旗舰店,,,,新款优惠,0.0,0.0,0,1,-1,0,0,2012-10-19
13997061732,newbalance旗舰店,AMSJ2103,New Balance/新百伦 男 休闲运动外套 长袖针织套衫AMSJ2103 包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T1FdKWXdthXXau6Ms4_052754.jpg,新款优惠,0.0,0.0,0,0,0,1,0,2012-10-18
13997061732,newbalance旗舰店,AMSJ2103,New Balance/新百伦 男 休闲运动外套 长袖针织套衫AMSJ2103 包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T1FdKWXdthXXau6Ms4_052754.jpg,新款优惠,0.0,299.6,0,0,0,1,0,2012-10-17
13997061732,newbalance旗舰店,AMSJ2103,New Balance/新百伦 男 休闲运动外套 长袖针织套衫AMSJ2103 包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T1FdKWXdthXXau6Ms4_052754.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13793890750,newbalance旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13793890750,newbalance旗舰店,KV576OPY,New Balance新百伦 魔术贴童鞋大/中童仿皮面复古鞋KV576OPY包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T1qV50XoJfXXaNd0g9_102735.jpg,,0.0,0.0,0,0,0,3,0,2012-10-18
13793890750,newbalance旗舰店,KV576OPY,New Balance新百伦 魔术贴童鞋大/中童仿皮面复古鞋KV576OPY包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T1qV50XoJfXXaNd0g9_102735.jpg,,0.0,0.0,0,0,0,3,0,2012-10-17
13793890750,newbalance旗舰店,KV576OPY,New Balance新百伦 魔术贴童鞋大/中童仿皮面复古鞋KV576OPY包邮,http://img04.taobaocdn.com/bao/uploaded/i4/T1qV50XoJfXXaNd0g9_102735.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
