淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
15821739846,olay官方旗舰店,,,,,0.0,,0,1,-1,2,0,2012-10-19
15821739846,olay官方旗舰店,Olay,Olay旗舰 玉兰油多效修护醒肤水+防晒霜 面霜 淡斑防晒 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1aF2MXaFlXXaCE4o9_073555.jpg,,0.0,0.0,2,1,-3,-6,0,2012-10-18
15821739846,olay官方旗舰店,Olay,Olay旗舰 玉兰油多效修护醒肤水+防晒霜 面霜 淡斑防晒 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1aF2MXaFlXXaCE4o9_073555.jpg,,0.0,0.0,0,0,0,-5,0,2012-10-17
15821739846,olay官方旗舰店,Olay,Olay旗舰 玉兰油多效修护醒肤水+防晒霜 面霜 淡斑防晒 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1aF2MXaFlXXaCE4o9_073555.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
15821611944,olay官方旗舰店,,,,,0.0,,1,-1,-1,2,0,2012-10-19
15821611944,olay官方旗舰店,Olay,Olay旗舰店 玉兰油防晒液二支 防晒 隔离 补水 美白 专柜正品包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T14pPMXd0gXXX7LccW_022649.jpg,,0.0,0.0,8,2,-8,-4,0,2012-10-18
15821611944,olay官方旗舰店,Olay,Olay旗舰店 玉兰油防晒液二支 防晒 隔离 补水 美白 专柜正品包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T14pPMXd0gXXX7LccW_022649.jpg,,0.0,0.0,4,-1,-4,-8,0,2012-10-17
15821611944,olay官方旗舰店,Olay,Olay旗舰店 玉兰油防晒液二支 防晒 隔离 补水 美白 专柜正品包邮,http://img03.taobaocdn.com/bao/uploaded/i3/T14pPMXd0gXXX7LccW_022649.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
14403944633,olay官方旗舰店,,,,金九银十,0.0,0.0,16,-2,-12,22,0,2012-10-19
14403944633,olay官方旗舰店,Pro-X,Olay旗舰店 玉兰油Pro-X方程式 洁面仪+洁面仪刷头 专柜正品 包邮,http://img02.taobaocdn.com/bao/uploaded/i2/T1lOnMXbxdXXcuGjkV_021231.jpg,金九银十,0.0,0.0,38,6,-39,14,0,2012-10-18
14403944633,olay官方旗舰店,Pro-X,Olay旗舰店 玉兰油Pro-X方程式 洁面仪+洁面仪刷头 专柜正品 包邮,http://img02.taobaocdn.com/bao/uploaded/i2/T1lOnMXbxdXXcuGjkV_021231.jpg,金九银十,0.0,0.0,32,-2,-33,18,0,2012-10-17
14403944633,olay官方旗舰店,Pro-X,Olay旗舰店 玉兰油Pro-X方程式 洁面仪+洁面仪刷头 专柜正品 包邮,http://img02.taobaocdn.com/bao/uploaded/i2/T1lOnMXbxdXXcuGjkV_021231.jpg,金九银十,0.0,0.0,0,0,0,0,0,2012-10-16
13034010310,olay官方旗舰店,,,,,0.0,,2,-1,-2,2,0,2012-10-19
13034010310,olay官方旗舰店,Olay,Olay旗舰 眼部淡纹走珠精华/点睛之笔 眼霜 去细纹 保湿 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1VaPMXnNfXXcyOaA._110959.jpg,,0.0,0.0,4,1,-4,-6,0,2012-10-18
13034010310,olay官方旗舰店,Olay,Olay旗舰 眼部淡纹走珠精华/点睛之笔 眼霜 去细纹 保湿 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1VaPMXnNfXXcyOaA._110959.jpg,,0.0,0.0,2,0,-2,0,0,2012-10-17
13034010310,olay官方旗舰店,Olay,Olay旗舰 眼部淡纹走珠精华/点睛之笔 眼霜 去细纹 保湿 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1VaPMXnNfXXcyOaA._110959.jpg,,0.0,0.0,0,1,-1,0,0,2012-10-16
13043057752,olay官方旗舰店,,,,,0.0,,0,0,0,3,0,2012-10-19
13043057752,olay官方旗舰店,Olay,Olay旗舰 水漾动力莹眸走珠精华笔 点睛之笔 保湿  专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1DjTLXlFlXXbDraA4_052016.jpg,,0.0,0.0,1,-2,-1,-2,0,2012-10-18
13043057752,olay官方旗舰店,Olay,Olay旗舰 水漾动力莹眸走珠精华笔 点睛之笔 保湿  专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1DjTLXlFlXXbDraA4_052016.jpg,,0.0,0.0,0,-1,0,-2,0,2012-10-17
13043057752,olay官方旗舰店,Olay,Olay旗舰 水漾动力莹眸走珠精华笔 点睛之笔 保湿  专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1DjTLXlFlXXbDraA4_052016.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13752015629,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13752015629,olay官方旗舰店,Olay,Olay旗舰 玉兰油水漾深层保湿露+保湿晶露+精华笔 补水 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1fyjGXjlqXXaVkas5_054632.jpg,,0.0,0.0,1,-1,-1,2,0,2012-10-18
13752015629,olay官方旗舰店,Olay,Olay旗舰 玉兰油水漾深层保湿露+保湿晶露+精华笔 补水 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1fyjGXjlqXXaVkas5_054632.jpg,,0.0,0.0,1,0,0,1,0,2012-10-17
13752015629,olay官方旗舰店,Olay,Olay旗舰 玉兰油水漾深层保湿露+保湿晶露+精华笔 补水 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1fyjGXjlqXXaVkas5_054632.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13360074002,olay官方旗舰店,,,,,0.0,,0,0,0,-4,0,2012-10-19
13360074002,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生活能水+金纯面霜+精华笔 抗皱护肤套装 正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1FSvJXbxcXXbgP5vb_124406.jpg,,0.0,0.0,1,1,-1,-3,0,2012-10-18
13360074002,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生活能水+金纯面霜+精华笔 抗皱护肤套装 正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1FSvJXbxcXXbgP5vb_124406.jpg,,0.0,0.0,0,0,0,1,0,2012-10-17
13360074002,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生活能水+金纯面霜+精华笔 抗皱护肤套装 正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1FSvJXbxcXXbgP5vb_124406.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13983657343,olay官方旗舰店,,,,,0.0,,2,1,-2,1,0,2012-10-19
13983657343,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白防晒护肤四件套 美白 保湿补水 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1b9rLXoXhXXbtd_IU_015839.jpg,,0.0,0.0,0,-2,0,1,0,2012-10-18
13983657343,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白防晒护肤四件套 美白 保湿补水 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1b9rLXoXhXXbtd_IU_015839.jpg,,0.0,0.0,0,-1,0,4,0,2012-10-17
13983657343,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白防晒护肤四件套 美白 保湿补水 专柜正品,http://img03.taobaocdn.com/bao/uploaded/i3/T1b9rLXoXhXXbtd_IU_015839.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13385411705,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13385411705,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生面霜+水+面膜+眼部走珠笔 抗皱保湿 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1rWPKXlldXXb511kZ_032114.jpg,,0.0,0.0,0,0,0,-1,0,2012-10-18
13385411705,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生面霜+水+面膜+眼部走珠笔 抗皱保湿 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1rWPKXlldXXb511kZ_032114.jpg,,0.0,0.0,0,0,0,0,-1,2012-10-17
13385411705,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生面霜+水+面膜+眼部走珠笔 抗皱保湿 专柜正品,http://img04.taobaocdn.com/bao/uploaded/i4/T1rWPKXlldXXb511kZ_032114.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13292114252,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
13292114252,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生金纯面霜+眼部走珠精华笔 抗皱护肤套装 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1W6bHXh8kXXcGs5Tb_124437.jpg,,0.0,0.0,0,0,0,4,0,2012-10-18
13292114252,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生金纯面霜+眼部走珠精华笔 抗皱护肤套装 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1W6bHXh8kXXcGs5Tb_124437.jpg,,0.0,0.0,2,2,-2,0,0,2012-10-17
13292114252,olay官方旗舰店,Olay,Olay旗舰 玉兰油新生金纯面霜+眼部走珠精华笔 抗皱护肤套装 正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1W6bHXh8kXXcGs5Tb_124437.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
14752459258,olay官方旗舰店,,,,,0.0,,0,0,0,0,0,2012-10-19
14752459258,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白莹肌亮肤液+爆水凝乳+防晒液 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1I22MXmlcXXad.nIW_025027.jpg,,0.0,0.0,0,0,0,-2,0,2012-10-18
14752459258,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白莹肌亮肤液+爆水凝乳+防晒液 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1I22MXmlcXXad.nIW_025027.jpg,,0.0,0.0,0,0,0,0,0,2012-10-17
14752459258,olay官方旗舰店,Olay,Olay旗舰 玉兰油水感透白莹肌亮肤液+爆水凝乳+防晒液 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1I22MXmlcXXad.nIW_025027.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
15702980061,olay官方旗舰店,,,,,0.0,,1,1,-1,0,0,2012-10-19
15702980061,olay官方旗舰店,olay,olay旗舰 玉兰油水感透白精纯美白凝乳+亮肤液+洁面 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1GZ_MXh4eXXcYnx.W_024017.jpg,,0.0,0.0,1,-1,-1,3,0,2012-10-18
15702980061,olay官方旗舰店,olay,olay旗舰 玉兰油水感透白精纯美白凝乳+亮肤液+洁面 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1GZ_MXh4eXXcYnx.W_024017.jpg,,0.0,0.0,0,-1,0,0,0,2012-10-17
15702980061,olay官方旗舰店,olay,olay旗舰 玉兰油水感透白精纯美白凝乳+亮肤液+洁面 专柜正品,http://img02.taobaocdn.com/bao/uploaded/i2/T1GZ_MXh4eXXcYnx.W_024017.jpg,,0.0,0.0,0,0,0,0,0,2012-10-16
13859870859,olay官方旗舰店,,,,,0.0,,0,-1,0,0,0,2012-10-19
13859870859,olay官方旗舰店,100ml,olay旗舰 玉兰油男士活肤泡沫洁面乳100ml 洗面奶 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1LPzLXh4lXXXnmY77_064020.jpg,,0.0,0.0,4,4,-4,4,0,2012-10-18
13859870859,olay官方旗舰店,100ml,olay旗舰 玉兰油男士活肤泡沫洁面乳100ml 洗面奶 专柜正品,http://img01.taobaocdn.com/bao/uploaded/i1/T1LPzLXh4lXXXnmY77_064020.jpg,,0.0,0.0,1,0,-1,-2,0,2012-10-17
