淘宝ID,卖家昵称,商家编码,标题,图片地址,促销活动,价格,促销价格,总销量,月销量,库存,收藏数,SKU数,抓取日期
15959673666,海青蓝旗舰店,,,http://img03.taobaocdn.com/bao/uploaded/i3/T1R8PRXaJmXXc3oeET_011447.jpg,秋款上新,0.0,0.0,42,43,4942,364,0,2012-10-19
15959673666,海青蓝旗舰店,2012,海青蓝5折欧美大牌兔毛长袖秋季新款女装 大码宽松2012连衣裙秋款,http://img04.taobaocdn.com/bao/uploaded/i4/T1s2_RXaxnXXctyN.T_012209.jpg,秋款上新,0.0,0.0,27,27,-34,172,0,2012-10-18
15959673666,海青蓝旗舰店,2012,海青蓝5折欧美大牌兔毛长袖秋季新款女装 大码宽松2012连衣裙秋款,http://img04.taobaocdn.com/bao/uploaded/i4/T1s2_RXaxnXXctyN.T_012209.jpg,秋款上新,0.0,0.0,148,145,-169,666,0,2012-10-17
15959673666,海青蓝旗舰店,2012,海青蓝5折欧美大牌兔毛长袖秋季新款女装 大码宽松2012连衣裙秋款,http://img04.taobaocdn.com/bao/uploaded/i4/T1s2_RXaxnXXctyN.T_012209.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
15440885702,海青蓝旗舰店,,,,秋款上新,0.0,0.0,8,-16,-9,30,0,2012-10-19
15440885702,海青蓝旗舰店,2012,海青蓝 2012秋冬新款民族风绣花修身假两件套大码气质羊毛连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1JfbMXoRkXXaVjY7Z_031518.jpg,秋款上新,0.0,0.0,7,-8,-10,19,0,2012-10-18
15440885702,海青蓝旗舰店,2012,海青蓝 2012秋冬新款民族风绣花修身假两件套大码气质羊毛连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1JfbMXoRkXXaVjY7Z_031518.jpg,秋款上新,0.0,0.0,9,-25,-8,23,0,2012-10-17
15440885702,海青蓝旗舰店,2012,海青蓝 2012秋冬新款民族风绣花修身假两件套大码气质羊毛连衣裙,http://img04.taobaocdn.com/bao/uploaded/i4/T1JfbMXoRkXXaVjY7Z_031518.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
18781112056,海青蓝旗舰店,,,,秋款上新,0.0,0.0,2,-13,-3,12,0,2012-10-19
18781112056,海青蓝旗舰店,2012,海青蓝2012秋装新品女装兔毛领豹纹印花欧美宽松长袖大码连衣裙子,http://img01.taobaocdn.com/bao/uploaded/i1/T1bwTHXnJbXXcMGbc0_034341.jpg,秋款上新,0.0,0.0,6,-3,-7,19,0,2012-10-18
18781112056,海青蓝旗舰店,2012,海青蓝2012秋装新品女装兔毛领豹纹印花欧美宽松长袖大码连衣裙子,http://img01.taobaocdn.com/bao/uploaded/i1/T1bwTHXnJbXXcMGbc0_034341.jpg,秋款上新,0.0,0.0,8,-22,-14,-4,0,2012-10-17
18781112056,海青蓝旗舰店,2012,海青蓝2012秋装新品女装兔毛领豹纹印花欧美宽松长袖大码连衣裙子,http://img01.taobaocdn.com/bao/uploaded/i1/T1bwTHXnJbXXcMGbc0_034341.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
16353743348,海青蓝旗舰店,,,,秋款上新,0.0,0.0,2,-10,-3,4,0,2012-10-19
16353743348,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装翻领大牌出口欧美长款风衣外套有加大码,http://img02.taobaocdn.com/bao/uploaded/i2/T1zk_xXiVgXXa2x2w2_044055.jpg,秋款上新,0.0,0.0,8,2,-8,-11,0,2012-10-18
16353743348,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装翻领大牌出口欧美长款风衣外套有加大码,http://img02.taobaocdn.com/bao/uploaded/i2/T1zk_xXiVgXXa2x2w2_044055.jpg,秋款上新,0.0,0.0,1,-13,0,-12,0,2012-10-17
16353743348,海青蓝旗舰店,2012,海青蓝2012秋冬新款女装翻领大牌出口欧美长款风衣外套有加大码,http://img02.taobaocdn.com/bao/uploaded/i2/T1zk_xXiVgXXa2x2w2_044055.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
15384769068,海青蓝旗舰店,,,,秋款上新,0.0,0.0,0,-5,1,27,0,2012-10-19
15384769068,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 羊毛两件套OL职业套装 小外套加连衣裙,http://img02.taobaocdn.com/bao/uploaded/i2/T1xmHDXhRnXXbpzXYc_125640.jpg,秋款上新,0.0,0.0,1,0,2,4,0,2012-10-18
15384769068,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 羊毛两件套OL职业套装 小外套加连衣裙,http://img02.taobaocdn.com/bao/uploaded/i2/T1xmHDXhRnXXbpzXYc_125640.jpg,秋款上新,0.0,0.0,5,-8,-5,4,0,2012-10-17
15384769068,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款 羊毛两件套OL职业套装 小外套加连衣裙,http://img02.taobaocdn.com/bao/uploaded/i2/T1xmHDXhRnXXbpzXYc_125640.jpg,秋款上新,0.0,0.0,0,0,0,0,0,2012-10-16
18010520268,海青蓝旗舰店,,,,天猫促销价,0.0,0.0,2,-2,-2,0,0,2012-10-19
18010520268,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款修身气质印花圆领百搭长袖打底连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1lg6TXgReXXXHY6Q8_101237.jpg,天猫促销价,0.0,0.0,2,-4,-4,1,0,2012-10-18
18010520268,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款修身气质印花圆领百搭长袖打底连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1lg6TXgReXXXHY6Q8_101237.jpg,天猫促销价,0.0,0.0,2,-5,-4,-9,0,2012-10-17
18010520268,海青蓝旗舰店,2012,海青蓝2012秋冬女装新款修身气质印花圆领百搭长袖打底连衣裙,http://img01.taobaocdn.com/bao/uploaded/i1/T1lg6TXgReXXXHY6Q8_101237.jpg,天猫促销价,0.0,0.0,0,0,0,0,0,2012-10-16
15422482923,海青蓝旗舰店,,,,秋款上新,0.0,0.0,2,-8,-4,0,0,2012-10-19
